Word,Rank,Frequency
wood,568,1026
point,569,1026
seeing,570,1026
silence,571,1023
wind,572,1023
deal,573,1021
month,574,1015
deep,575,1014
save,576,1014
making,577,1012
meat,578,1011
sing,579,1011
sit,580,1011
seed,581,1005
sound,582,999
bad,583,999
fish,584,999
cry,585,999
letter,586,997
mount,587,996
fruit,588,996
fast,589,993
spirits,590,993
tabernacle,591,993
run,592,993
read,593,990
free,594,987
past,595,982
enemies,596,981
gentleman,597,978
top,598,978
wine,599,975
thoughts,600,972
judge,601,972
third,602,972
river,603,971
become,604,969
company,605,968
daughters,606,966
shew,607,963
fair,608,963
solomon,609,963
husband,610,960
colonel,611,960
fight,612,960
wilderness,613,957
destroy,614,957
places,615,954
low,616,952
delivered,617,951
gathered,618,948
ve,619,947
stone,620,945
righteousness,621,942
please,622,942
continued,623,942
angel,624,942
woodhouse,625,940
used,626,939
oil,627,939
anger,628,936
already,629,934
longer,630,934
sense,631,930
forward,632,930
appeared,633,930
wild,634,930
seem,635,930
lest,636,930
party,637,930
ways,638,930
sake,639,927
darkness,640,927
carried,641,925
deliver,642,924
ill,643,921
mary,644,921
hardly,645,921
comes,646,916
close,647,916
use,648,913
hosts,649,912
followed,650,912
common,651,912
jane,652,909
died,653,906
covenant,654,906
born,655,906
possible,656,903
idea,657,898
babylon,658,897
sleep,659,894
vain,660,891
care,661,891
line,662,890
general,663,889
thyself,664,885
standing,665,885
number,666,883
battle,667,879
pretty,668,879
receive,669,877
except,670,876
concerning,671,876
wait,672,874
silent,673,873
perfect,674,873
susan,675,873
yourself,676,873
fellow,677,873
morrow,678,873
means,679,872
hill,680,867
spoke,681,867
elliot,682,867
early,683,865
princes,684,864
wisdom,685,861
feelings,686,861
sometimes,687,861
doth,688,861
blue,689,861
rise,690,859
girl,691,858
wilt,692,855
became,693,855
window,694,855
play,695,855
iron,696,853
wonder,697,852
state,698,852
cometh,699,849
grace,700,843
cold,701,843
need,702,841
iniquity,703,840
follow,704,837
beginning,705,835
pharaoh,706,834
added,707,833
length,708,832
wanted,709,830
stay,710,829
heads,711,828
visit,712,828
serve,713,823
edward,714,822
south,715,822
st,716,821
town,717,820
instant,718,819
multitude,719,819
change,720,819
pleased,721,816
offerings,722,813
whales,723,813
street,724,811
twelve,725,804
beautiful,726,804
prophet,727,804
subject,728,803
wrong,729,802
host,730,798
filled,731,798
lie,732,798
doing,733,795
levites,734,795
held,735,795
won,736,793
real,737,792
secret,738,792
lived,739,789
break,740,789
watch,741,789
song,742,783
philistines,743,783
foot,744,783
abraham,745,783
jews,746,780
thirty,747,780
comfort,748,780
question,749,780
east,750,779
mountains,751,777
hell,752,774
houses,753,771
seems,754,771
account,755,771
stubb,756,771
taking,757,763
bare,758,762
bow,759,762
louisa,760,762
temple,761,762
command,762,762
tribe,763,762
righteous,764,759
joseph,765,759
therein,766,759
kill,767,756
ark,768,756
throne,769,756
order,770,756
beast,771,756
dashwood,772,756
ears,773,756
queequeg,774,756
